nm,pres_stat,bnf_code
Coal tar solution strong 10% / Salicylic acid 2% in Generic Unguentum M cream,4,
Clobetasol 0.05% ointment 25% / Coal tar solution 5% / Salicylic acid 2% in Yellow soft paraffin,1,
Coal tar 1% / Salicylic acid 3% / Sulfur 3% ointment,1,
Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge,1,
Elasticated nylon / elastane stockinette top 0-24 months,4,
Elasticated nylon / elastane stockinette top 2-7 years,4,
Elasticated nylon / elastane stockinette top 7-11 years,4,
Elasticated nylon / elastane stockinette top 11-14 years,4,
Elasticated nylon / elastane stockinette leg tube 0-5 years,4,
Elasticated nylon / elastane stockinette leg tube 5-11 years,4,
Elasticated nylon / elastane stockinette leg tube 11-14 years,4,
Elasticated nylon / elastane stockinette gloves 0-5 years,4,
Elasticated nylon / elastane stockinette gloves 5-11 years,4,
Generic Alhydran cream,4,
Elasticated nylon / elastane stockinette gloves 11-14 years,4,
"Colecalciferol 100,000units/5ml oral solution",1,
Hydrocortisone 1% / Salicylic acid 1% / Sulfur 1% in Generic Unguentum M cream,4,
Cade oil 10% in Olive oil scalp lotion,1,
Urea 20% / Starch 9.6% / Zinc oxide 9.6% / Salicylic acid 0.8% in White soft paraffin,1,
Aqueous cream 50% / Emulsifying ointment 50% cream,1,
Coal tar solution 6% / Salicylic acid 6% in Clobetasone 0.05% ointment,1,
Urea 40% in White soft paraffin,1,
Dithranol 10% in Zinc and Salicylic acid paste,1,
Formaldehyde 4% solution,1,
Furosemide 50micrograms/dose nasal spray,1,
Flucytosine 300mg/5ml oral solution,1,
Lymphoedema garments made to measure armsleeve with gauntlet and shoulder flap,4,
Lymphoedema garments made to measure armsleeve with shoulder attachment,4,
Lymphoedema garments made to measure foot glove,4,
Lymphoedema garments made to measure panty closed crotch,4,
Lymphoedema garments made to measure panty girdle,4,
Lymphoedema garments made to measure panty open crotch,4,
Generic Rhinodoron nasal spray,4,
Generic Xylocaine spray nozzle,4,
Generic Cambridge Pro800 shake oral powder 54g sachets,4,
Generic Cambridge Pro800 soup oral powder 54g sachets,4,
Generic Promin low protein 40g breakfast bars,4,
"Ergocalciferol 5,000units/5ml oral solution",1,
Tolonium chloride 1% topical solution,1,
Mercaptamine 0.44% eye drops,1,
Generic Flexiseq gel,4,
Sodium hyaluronate 0.1% eye drops,9,
Lancets sterile single use 1.8mm/18gauge,4,
Activated charcoal non-absorbent dressing 10.5cm x 10.5cm,4,20031000049
Sterile subcutaneous drug delivery device 110cm tubing 6mm needle 22gauge,4,
Generic Cetraben lotion,4,
Lymphoedema garments made to measure armsleeve with gauntlet,4,
Lymphoedema garments made to measure foot with open toe,4,
Coal tar solution 10% / Salicylic acid 4% in Emulsifying ointment,1,
Bio-cellulose dressing 10cm x 10cm square,4,20030200216
Carmellose 1% eye drops,1,
Cavity dressing 3cm x 45cm,4,20030800042
Lymphoedema garments armsleeve with shoulder and strap,4,
Generic Prontoderm solution,4,
Paraffin gauze dressing BP sterile normal loading 175-220g per square metre 10cm x 40cm,2,
Paraffin gauze dressing BP sterile normal loading 175-220g per square metre 5cm x 5cm,2,
Generic Souvenaid liquid,4,
Coal tar solution 3% / Salicylic acid 2% in Yellow soft paraffin,1,
Pyridoxine 0.2% in Aqueous cream,1,
Generic Ensure Compact liquid,4,090402000BBVTA0
Hydroxyamfetamine 1% eye drops preservative free,1,
Hypromellose 2.5% eye drops,1,
Povidone-Iodine 5% ophthalmic solution,1,
Disodium edetate 0.4% ophthalmic solution,1,
Disodium edetate 4% ophthalmic solution,1,
Disodium edetate 0.37% ophthalmic solution,1,
Coal tar solution 6% in Yellow soft paraffin,1,
Coal tar 5% in Zinc and Salicylic acid paste,1,
Coal tar 5% in Zinc ointment,1,
Coal tar solution 12.5% / Salicylic acid 2% / Sulfur 2% ointment,1,
Coal tar solution strong 6.25% / Salicylic acid 2% / Sulfur 4% ointment,1,
Coal tar 10% in Zinc ointment,1,
Coal tar 2% in Zinc ointment,1,
Generic Nutriprem breastmilk fortifier 2.2g powder sachets,4,
Generic SMA Breast Milk fortifier 2g powder sachets,4,
Chlordiazepoxide 7.5mg/5ml oral suspension,1,
Sodium fluoride 1.1% mouthwash sugar free,1,
Lymphoedema garments below knee closed toe with silicone top/band/border,4,
Lymphoedema garments below knee open toe with silicone top/band/border,4,
Generic Nutriprem 1 liquid,4,
Generic First infant milk from newborn powder,4,
Generic First infant milk from newborn liquid,4,
Generic Milupa Aptamil Preterm liquid,4,
Generic SMA First Infant milk liquid,4,
Generic SMA First Infant milk powder,4,
Generic SMA Gold Prem 1 liquid,4,
Generic Multi-Gyn ActiGel vaginal pH correction gel,4,21340000104
Noradrenaline (base) 320micrograms/ml solution for infusion 950ml bottles,1,
Noradrenaline (base) 160micrograms/ml solution for infusion 950ml bottles,1,
Noradrenaline (base) 80micrograms/ml solution for infusion 950ml bottles,1,
Cotton garment impregnated with antimicrobial agents kit,4,
Cotton garment impregnated with antimicrobial agents T-shirt 2-3 years,4,
Cotton garment impregnated with antimicrobial agents T-shirt 4-5 years,4,
Cotton garment impregnated with antimicrobial agents T-shirt 6-7 years,4,
Cotton garment impregnated with antimicrobial agents T-shirt 8-10 years,4,
Cotton garment impregnated with antimicrobial agents T-shirt 11-13 years,4,
Cotton garment impregnated with antimicrobial agents T-shirt adult small,4,
Cotton garment impregnated with antimicrobial agents T-shirt adult medium,4,
Cotton garment impregnated with antimicrobial agents T-shirt adult large,4,
Cotton garment impregnated with antimicrobial agents T-shirt adult extra large,4,
Cotton garment impregnated with antimicrobial agents boxer shorts 2-3 years,4,
Cotton garment impregnated with antimicrobial agents boxer shorts 4-5 years,4,
Cotton garment impregnated with antimicrobial agents boxer shorts 6-7 years,4,
Cotton garment impregnated with antimicrobial agents boxer shorts 8-10 years,4,
Cotton garment impregnated with antimicrobial agents boxer shorts 11-13 years,4,
Cotton garment impregnated with antimicrobial agents boxer shorts adult small,4,
Cotton garment impregnated with antimicrobial agents boxer shorts adult medium,4,
Cotton garment impregnated with antimicrobial agents boxer shorts adult large,4,
Cotton garment impregnated with antimicrobial agents boxer shorts adult extra large,4,
Cotton garment impregnated with antimicrobial agents socks,4,
Lancets sterile single use 0.195mm/33gauge,4,
Sodium hyaluronate 800mg / Sodium chondroitin sulfate 1g intravesical solution 50ml vials,2,
Aprotinin 20 Kallikrein inactivator units/ml eye drops preservative free,1,
Generic OraLife oral gel sugar free,4,
Generic OraLife mouthwash sugar free,4,
Generic TraLife oral spray sugar free,4,
Salicylic acid 60% ointment,1,
Salicylic acid 70% ointment,1,
Dithranol 15% / Salicylic acid 2% in Emulsifying ointment,1,
Generic Nutricrem dessert,4,
Lancets sterile single use 0.32mm/30gauge,4,
Generic Nepro HP liquid,4,
Glycerol 15% eye drops,1,
Glycerol 50% oral solution,1,
Glyceryl trinitrate 0.3% in Yellow soft paraffin,1,
Ichthammol 1% in Yellow soft paraffin,1,
Ichthammol 1% in Calamine lotion,1,
Magnesium chloride 100mg/5ml oral solution,1,
Benzoyl peroxide 3% / Clindamycin 1% gel,1,1306010Y0AAABAB
Urinary suprapubic catheter 22Ch,4,
Urinary suprapubic catheter 24Ch,4,
Potassium hydroxide 5% solution,4,
"Ring pessary size 10, 108mm diameter, silicone",4,
"Ring pessary size 11, 114mm diameter, silicone",4,
"Ring pessary size 12, 121mm diameter, silicone",4,
"Ring pessary size 13, 127mm diameter, silicone",4,
Topical skin coolants,4,
Cocaine 10% / Adrenaline (base) 0.05% nasal spray,1,
Menthol 1% / Phenol 1% in Calamine oily lotion,1,
Liquid paraffin light eye drops preservative free,1,
Cocaine 10% oromucosal paste,1,
Cocaine 5% nasal drops,1,
Cocaine 5% / Adrenaline (base) 0.05% nasal drops,1,
Methylrosanilinium chloride 0.5% topical solution,1,
Methylrosanilinium chloride 2% topical solution,1,
Methylrosanilinium chloride 0.125% in Generic Unguentum M cream,4,
Coal tar 2% in Generic Unguentum M cream,4,
Eosin 0.5% in White soft paraffin,1,
Ethanol 20% topical solution,1,
Lactose 1g/5ml oral solution,1,
Clarithromycin 2% eye drops preservative free,1,
Cade oil 6% / Salicylic acid 3% in Emulsifying ointment,1,
Cade oil 12.5% / Salicylic acid 2% in Emulsifying ointment,1,
Cetrimide 1% topical liquid,1,
Betamethasone dipropionate 0.05% ointment 25% / Coal tar solution strong 3% / Salicylic acid 2% in Generic Unguentum M cream,4,
Chloral hydrate 200mg/1ml rectal solution,1,
Potassium permanganate 15% solution,1,
Potassium permanganate 5% solution,1,
Potassium iodide 50mg/5ml oral solution,1,
Brilliant green 0.1% topical solution,1,
Brilliant green 0.5% topical solution,1,
Povidone-Iodine 5% topical solution,1,
Povidone-Iodine 1% vaginal solution,1,
Salicylic acid 4% / Phenol 2.5% / Pyrogallol 2.5% in White Soft Paraffin,1,
Betamethasone valerate 0.1% ointment 25% in Coal tar paste,1,1304000F0AACSCS
Aspirin 4% in Chloroform solution,1,
Generic TISSEEL Lyo solution for sealant 2ml kit,4,
Generic TISSEEL Lyo solution for sealant 4ml kit,4,
Generic TISSEEL Lyo solution for sealant 10ml kit,4,
Potassium permanganate 1% solution,1,
Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.3mm/30gauge,4,
Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm safety needle 0.33mm/29gauge,4,
Generic Actico 2C comfort layer bandage 10cm x 9m,4,
Trehalose 3% eye drops preservative free,2,
Urine testing strips,2,
Generic Vitasavoury 200 powder mixed flavours,4,
Benzylpenicillin 0.3% eye drops,1,
Water for irrigation 1litre bags,2,
Coal tar solution 5% / Salicylic acid 3% in Emulsifying ointment,1,
Salicylic acid 52% / Trichloroacetic acid 21% in Glycerol,1,
Polyurethane foam film dressing sterile with adhesive border 18cm x 18.5cm sacral,4,
Soft silicone wound contact dressing with polyurethane foam film backing sterile 5cm x 5cm,4,
Soft polymer wound contact dressing with polyurethane foam film backing sterile and adhesive border 8cm x 8cm,4,
Lancets sterile single use 0.38mm/30gauge,4,
Chondroitin sulfate 400mg/20ml solution vials,2,
Generic Sterile Qceine spray,4,
Generic Sterile Proceine spray,4,
Pimozide 3mg/5ml oral suspension,1,
Urea 40% / Starch 7.2% / Zinc oxide 7.2% / Salicylic acid 0.6% in White soft paraffin,1,
Trichloroacetic acid liquid,1,
Tobramycin 400mg/5ml oral solution,1,
Tobramycin 135mg/5ml oral solution,1,
Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge,1,
Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge,1,
Podophyllum 10% in Compound benzoin tincture,1,
Podophyllum 20% in Compound benzoin tincture,1,
Podophyllum 50% in Yellow soft paraffin,1,
Podophyllum 25% in Compound benzoin tincture,1,
Podophyllum 40% in Compound benzoin tincture,1,
Pilocarpine hydrochloride 0.1% eye drops preservative free,1,
Generic Drawtex dressing 20cm x 20cm,4,20031700161
Sodium bicarbonate 1% topical solution,1,
Vaginal insert for female stress incontinence,4,
Lymphoedema garments adjustable knee wrap/piece,4,
Benzylpenicillin 0.15% eye drops,1,
Benzylpenicillin 0.3% eye drops preservative free,1,
Benzylpenicillin 0.6% eye drops,1,
Benzylpenicillin 6% eye drops,1,
Alum 10% bladder irrigation 100ml bottles,1,
Benzocaine 3% oromucosal liquid,1,
Almond oil ear drops,1,
Allopurinol 0.1% mouthwash,1,
Phenylephrine 5% eye drops,1,
Testosterone 2% in White soft paraffin,1,
Salicylic acid 20% in Flexible collodion,1,
Acetic acid 0.9% gel,1,
Adrenaline (base) 0.01% eye drops preservative free,1,
Adrenaline (base) 0.1% eye drops preservative free,1,
Generic Prevalin Allergy nasal spray,4,
Generic Prevalin Allergy for kids nasal spray,4,
Soft polymer wound contact dressing 10cm x 20cm,4,
Soft polymer wound contact dressing with polyurethane foam film backing sterile and adhesive border 12.5cm x 12.5cm,4,
Soft polymer wound contact dressing with polyurethane foam film backing sterile without adhesive border 15cm x 15cm,4,
Soft polymer wound contact dressing with polyurethane foam film backing sterile without adhesive border 20cm x 20cm,4,
Generic XLS-Medical Fat Binder tablets,4,
Ethyl chloride spray 50ml vials,2,
Ethyl chloride spray 100ml vials,2,
Lymphoedema garments armsleeve with hand and silicone top/band/border,4,
"Lymphoedema garments armsleeve with hand, shoulder cap and belt",4,
"Lymphoedema garments armsleeve without hand, shoulder cap and belt",4,
Lymphoedema garments made to measure armsleeve with glove,4,
Lymphoedema garments made to measure glove,4,
Lymphoedema garments made to measure tights/panty,4,
Lymphoedema garments made to measure toe cap,4,
Ichthammol 1% / Zinc oxide 15% in Yellow soft paraffin,1,
Ichthammol 2% / Zinc oxide 15% in Yellow soft paraffin,1,
Ichthammol 5% / Zinc oxide 15% in Yellow soft paraffin,1,
Ichthammol 10% / Zinc oxide 15% in Yellow soft paraffin,1,
Cidofovir 1% in Generic Unguentum M cream,4,
Coal tar 3% in Emulsifying ointment,1,
Coal tar solution 2% in Yellow soft paraffin,1,
Dithranol 2% / Salicylic acid 1% in Emulsifying ointment,1,
Generic Infludo homeopathic drops,4,
Clozapine diluent oral solution,1,
Tacrolimus 0.005% mouthwash,1,
Silk leggings 3-6 months,4,
Tracheostomy dressing sterile 8cm x 8cm,4,
Generic Fortisip Compact Protein Starter Pack liquid,4,
Vancomycin 5% eye drops preservative free,1,
"Colecalciferol 3,000units/ml oral solution",1,
"Colecalciferol 2,000units/ml oral solution",1,
Salicylic acid 1% / Starch 12% / Zinc oxide 12% in White soft paraffin,1,
Generic Fresubin Powder Extra oral powder 62g sachets,4,
Ceftazidime 5% eye drops preservative free,1,
Potassium bicarbonate powder,1,
Tacrolimus 0.1% in Carmellose gelatin paste,1,
Tacrolimus 0.3% in Carmellose gelatin paste,1,
Alcohol impregnated swabs,4,
Absorbable synthetic suture 2gauge 45cm length with 19mm curved reverse cutting needle,4,
Absorbable synthetic suture 1.5gauge 45cm length with 16mm curved reverse cutting needle,4,
Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge,1,
Dithranol 4% / Salicylic acid 0.5% in Emulsifying ointment,1,
Dithranol 2% / Salicylic acid 0.5% in Emulsifying ointment,1,
Dithranol 1% / Salicylic acid 0.5% in Emulsifying ointment,1,
Dithranol 0.5% / Salicylic acid 0.5% in Emulsifying ointment,1,
Glycopyrronium bromide 2% in Cetomacrogol A cream,1,
Generic Otocomb Otic ear ointment,4,
Propylene glycol 50% topical solution,1,
Pyrogallol 10% in White soft paraffin,1,
Pyrogallol 20% in White soft paraffin,1,
Pyrogallol 40% in White soft paraffin,1,
Salicylic acid 60% in Hydrous wool fat,1,
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 21.6cm x 23cm,4,
Sucralfate 4% cream,1,
"Nystatin 50,000units/ml oral suspension",1,
Smallpox vaccine (live) suspension 0.25ml vials,1,
White soft paraffin 70% / Liquid paraffin 30% ointment,1,
Vancomycin 1.4% eye drops preservative free,1,
Tranexamic acid 1% mouthwash,1,
Trisodium edetate 0.4% eye drops,1,
Phenylephrine 2.5% eye drops,1,
Sterile subcutaneous drug delivery device 110cm tubing 6mm needle 27gauge,4,
Oscillating positive expiratory pressure device,4,
"Gellhorn pessary 45mm diameter, silicone",4,
Mitomycin 0.02% eye drops preservative free,1,
Mitomycin 0.04% eye drops preservative free,1,
Finger stalls plastic medium,4,
Finger stalls plastic large,4,
Sodium chloride 7% inhalation solution 4ml vials,1,
Generic Flexitol Hand Balm,4,
Lymphoedema garments adjustable hand wrap/piece,4,
Lymphoedema garments adjustable sleeve wrap/piece,4,
Coal tar 1% / Salicylic acid 2% in Emulsifying ointment,1,
Coal tar 2% / Salicylic acid 2% in Emulsifying ointment,1,
Coal tar 2% / Salicylic acid 2% in Yellow soft paraffin,1,
Coal tar 6% in Emulsifying ointment,1,
Dithranol 0.25% / Salicylic acid 2% in Emulsifying ointment,1,
Dithranol 4% / Salicylic acid 1% in Emulsifying ointment,1,
Dithranol 8% / Salicylic acid 1% in Emulsifying ointment,1,
Dithranol 8% / Salicylic acid 2% in Emulsifying ointment,1,
Dithranol 15% / Salicylic acid 1% in Emulsifying ointment,1,
Dithranol 1% / Salicylic acid 2% in Emulsifying ointment,1,
Dithranol 2% / Salicylic acid 2% in Emulsifying ointment,1,
Dithranol 20% / Salicylic acid 1% in Emulsifying ointment,1,
Dithranol 20% / Salicylic acid 2% in Emulsifying ointment,1,
Dithranol 1% / Salicylic acid 1% in Emulsifying ointment,1,
Dithranol 0.1% / Salicylic acid 2% in Emulsifying ointment,1,
Dithranol 0.5% / Salicylic acid 2% in Emulsifying ointment,1,
Dithranol 0.25% / Salicylic acid 0.5% in White soft paraffin,1,
Generic Systane eye drops,4,21300000110
Dithranol 0.4% in Zinc and Salicylic acid paste,1,
Dithranol 15% in Zinc and Salicylic acid paste,1,
Dithranol 2% in Zinc and Salicylic acid paste,1,
Dithranol 3% in Zinc and Salicylic acid paste,1,
Dithranol 5% in Zinc and Salicylic acid paste,1,
Dithranol 8% in Zinc and Salicylic acid paste,1,
Dithranol 20% in Zinc and Salicylic acid paste,1,
Dithranol 4% in Yellow soft paraffin,1,
Hypromellose 1.5% eye drops,1,
Hypromellose 1.75% eye drops,1,
Dithranol 0.1% in White soft paraffin,1,
Dithranol 0.5% in Yellow soft paraffin,1,
Generic SafetyGel absorbent tablets,4,
